SKU,MSRP,Sale Price,Start Date,End Date,
GAAC0232YY,$3.99 ,$3.59 ,2/25/2020,3/19/2020,
GAAC27HWGX,$84.99 ,$72.24 ,2/25/2020,3/19/2020,
GAAC28HWGX,$59.99 ,$50.99 ,2/25/2020,3/19/2020,
GAAC30STJB,$89.99 ,$76.49 ,2/25/2020,3/19/2020,
GAAC30STPB,$129.99 ,$110.49 ,2/25/2020,3/19/2020,
GAAC36GRDSS,$34.99 ,$29.74 ,2/25/2020,3/19/2020,
GAAC68PSDG,$189.99 ,$161.49 ,2/25/2020,3/19/2020,
GAAC68PSDW,$189.99 ,$161.49 ,2/25/2020,3/19/2020,
GAACGE4PPM,$7.99 ,$6.79 ,2/25/2020,3/19/2020,
GABK301PRS,$29.99 ,$25.49 ,2/25/2020,3/19/2020,
GABK362PSS,$36.99 ,$31.44 ,2/25/2020,3/19/2020,
GACEXXCPVK,$29.99 ,$25.49 ,2/25/2020,3/19/2020,
GACK04KDSX,$59.99 ,$50.99 ,2/25/2020,3/19/2020,
GAGB272DDR,$439.99 ,$373.99 ,2/25/2020,3/19/2020,
GAGB272DRG,$439.99 ,$373.99 ,2/25/2020,3/19/2020,
GAGB272DZW,$439.99 ,$373.99 ,2/25/2020,3/19/2020,
GAGB28FDESG,$239.99 ,$203.99 ,2/25/2020,3/19/2020,
GAGB28FDYG,$239.99 ,$203.99 ,2/25/2020,3/19/2020,
GAGB28FVEW,$239.99 ,$203.99 ,2/25/2020,3/19/2020,
GAGB28KDYG,$269.99 ,$229.49 ,2/25/2020,3/19/2020,
GAGD275DDR,$599.99 ,$509.99 ,2/25/2020,3/19/2020,
GAGD275DRG,$599.99 ,$509.99 ,2/25/2020,3/19/2020,
GAGD275DZW,$599.99 ,$509.99 ,2/25/2020,3/19/2020,
GAGP24WRHY,$29.99 ,$25.49 ,2/25/2020,3/19/2020,
GAGP32GAEY,$29.99 ,$25.49 ,2/25/2020,3/19/2020,
GAGP32PAEY,$29.99 ,$25.49 ,2/25/2020,3/19/2020,
GAGP42GBEY,$44.99 ,$38.24 ,2/25/2020,3/19/2020,
GAGP42PBEY,$44.99 ,$38.24 ,2/25/2020,3/19/2020,
GAGPUB2PPY,$59.99 ,$50.99 ,2/25/2020,3/19/2020,
GAHD48LWGY,$59.99 ,$50.99 ,2/25/2020,3/19/2020,
GAJG36FDYG,$499.99 ,$424.99 ,2/25/2020,3/19/2020,2 items
GAJG36FDZW,$499.99 ,$424.99 ,2/25/2020,3/19/2020,2 items
GAJG48KDYG,$479.99 ,$407.99 ,2/25/2020,3/19/2020,
GAJG48KDZW,$519.99 ,$441.99 ,2/25/2020,3/19/2020,
GAKT32GFGG,$149.99 ,$127.49 ,2/25/2020,3/19/2020,
GAKT32GPGY,$59.99 ,$50.99 ,2/25/2020,3/19/2020,
GAKT48BKGY,$49.99 ,$42.49 ,2/25/2020,3/19/2020,
GAKT48LWGY,$59.99 ,$50.99 ,2/25/2020,3/19/2020,
GAKT48SLGY,$79.99 ,$67.99 ,2/25/2020,3/19/2020,
GAKT48SSGY,$69.99 ,$59.49 ,2/25/2020,3/19/2020,
GALG36CKXG,$419.99 ,$356.99 ,2/25/2020,3/19/2020,
GALG36KDESG,$349.99 ,$297.49 ,2/25/2020,3/19/2020,
GALG36KDYG,$349.99 ,$297.49 ,2/25/2020,3/19/2020,
GALG36KDZW,$349.99 ,$297.49 ,2/25/2020,3/19/2020,
GAMW36HWEG,$349.99 ,$314.99 ,2/25/2020,3/19/2020,
GARA904XIG,$319.99 ,$271.99 ,2/25/2020,3/19/2020,
GARS484TEG,$169.99 ,$152.99 ,2/25/2020,3/19/2020,
GARS604TEG,$199.99 ,$179.99 ,2/25/2020,3/19/2020,
GARS774XEG,$229.99 ,$183.99 ,2/25/2020,3/19/2020,
GASL182PHB,$10.99 ,$9.34 ,2/25/2020,3/19/2020,
GASL242PHB,$12.99 ,$11.04 ,2/25/2020,3/19/2020,
GATB302DDR,$549.99 ,$467.49 ,2/25/2020,3/19/2020,
GATB302DRG,$549.99 ,$467.49 ,2/25/2020,3/19/2020,
GATB302DZW,$549.99 ,$467.49 ,2/25/2020,3/19/2020,
GATL302DRG,$599.99 ,$509.99 ,2/25/2020,3/19/2020,
GAWA18BKRH,$26.99 ,$22.94 ,2/25/2020,3/19/2020,
GAWA18SKRH,$64.99 ,$55.24 ,2/25/2020,3/19/2020,
GAWA24SKRH,$139.99 ,$118.99 ,2/25/2020,3/19/2020,
